ano,nome,personagem,filme,ganhou
2005,Reese Witherspoon,June Carter Cash,Walk the Line,True
2005,Judi Dench,Laura Forster-Henderson,Mrs Henderson Presents,False
2005,Felicity Huffman,"Sabrina ""Bree"" Osbourne",Transamerica,False
2005,Keira Knightley,Elizabeth Bennet,Pride & Prejudice,False
2005,Charlize Theron,Josey Aimes,North Country,False
2006,Helen Mirren,Queen Elizabeth II,The Queen,True
2006,Penélope Cruz,Raimunda,Volver,False
2006,Judi Dench,Barbara Covett,Notes on a Scandal,False
2006,Meryl Streep,Miranda Priestly,The Devil Wears Prada,False
2006,Kate Winslet,Sarah Pierce,Little Children,False
2007,Marion Cotillard,Édith Piaf,La Vie en Rose,True
2007,Cate Blanchett,Queen Elizabeth I,Elizabeth: The Golden Age,False
2007,Julie Christie,Fiona Anderson,Away from Her,False
2007,Laura Linney,Wendy Savage,The Savages,False
2007,Elliot Page,Juno MacGuff,Juno,False
2008,Kate Winslet,Hanna Schmitz,The Reader,True
2008,Anne Hathaway,Kym Buchman,Rachel Getting Married,False
2008,Angelina Jolie,Christine Collins,Changeling,False
2008,Melissa Leo,Ray Eddy,Frozen River,False
2008,Meryl Streep,Sister Aloysius Beauvier,Doubt,False
2009,Sandra Bullock,Leigh Anne Tuohy,The Blind Side,True
2009,Helen Mirren,Countess Sophia Tolstaya,The Last Station,False
2009,Carey Mulligan,Jenny Mellor,An Education,False
2009,Gabourey Sidibe,"Claireece ""Precious"" Jones",Precious,False
2009,Meryl Streep,Julia Child,Julie & Julia,False
2010,Natalie Portman,Nina Sayers,Black Swan,True
2010,Annette Bening,Nicole Allgood,The Kids Are All Right,False
2010,Nicole Kidman,Becca Corbett,Rabbit Hole,False
2010,Jennifer Lawrence,Ree Dolly,Winter's Bone,False
2010,Michelle Williams,"Cynthia ""Cindy"" Heller",Blue Valentine,False
2011,Meryl Streep,Margaret Thatcher,The Iron Lady,True
2011,Glenn Close,Albert Nobbs,Albert Nobbs,False
2011,Viola Davis,Aibileen Clark,The Help,False
2011,Rooney Mara,Lisbeth Salander,The Girl with the Dragon Tattoo,False
2011,Michelle Williams,Marilyn Monroe,My Week with Marilyn,False
2012,Jennifer Lawrence,Tiffany Maxwell,Silver Linings Playbook,True
2012,Jessica Chastain,Maya Harris,Zero Dark Thirty,False
2012,Emmanuelle Riva,Anne Laurent,Amour,False
2012,Quvenzhané Wallis,Hushpuppy,Beasts of the Southern Wild,False
2012,Naomi Watts,Maria Bennett,The Impossible,False
2013,Cate Blanchett,"Jeanette ""Jasmine"" Francis",Blue Jasmine,True
2013,Amy Adams,Lady Edith Greensly,American Hustle,False
2013,Sandra Bullock,Ryan Stone,Gravity,False
2013,Judi Dench,Philomena Lee,Philomena,False
2013,Meryl Streep,Violet Weston,August: Osage County,False
2014,Julianne Moore,Alice Howland,Still Alice,True
2014,Marion Cotillard,Sandra Bya,"Two Days, One Night",False
2014,Felicity Jones,Jane Wilde Hawking,The Theory of Everything,False
2014,Rosamund Pike,Amy Elliott-Dunne,Gone Girl,False
2014,Reese Witherspoon,Cheryl Strayed,Wild,False
2015,Brie Larson,"Joy ""Ma"" Newsome",Room,True
2015,Cate Blanchett,Carol Aird,Carol,False
2015,Jennifer Lawrence,Joy Mangano,Joy,False
2015,Charlotte Rampling,Kate Mercer,45 Years,False
2015,Saoirse Ronan,Eilis Lacey,Brooklyn,False
2016,Emma Stone,Mia Dolan,La La Land,True
2016,Isabelle Huppert,Michèle Leblanc,Elle,False
2016,Ruth Negga,Mildred Loving,Loving,False
